time,real-power
2021-07-29 00:00:00,0
2021-07-29 00:08:33,0
2021-07-29 00:13:35,0
2021-07-29 00:18:32,0
2021-07-29 00:23:33,0
2021-07-29 00:28:35,0
2021-07-29 00:33:32,0
2021-07-29 00:38:35,0
2021-07-29 00:43:32,0
2021-07-29 00:53:35,0
2021-07-29 01:09:23,0
2021-07-29 01:34:22,0
2021-07-29 01:39:24,0
2021-07-29 01:44:25,0
2021-07-29 01:49:22,0
2021-07-29 01:54:23,0
2021-07-29 01:59:25,0
2021-07-29 02:04:22,0
2021-07-29 02:27:03,2.79E-07
2021-07-29 02:32:05,0
2021-07-29 02:37:02,0
2021-07-29 02:42:03,0
2021-07-29 02:47:05,0
2021-07-29 03:04:00,1.18128E-06
2021-07-29 03:09:02,0
2021-07-29 03:13:59,0
2021-07-29 03:19:00,0
2021-07-29 03:34:00,0
2021-07-29 03:39:02,0
2021-07-29 03:43:59,0
2021-07-29 03:49:00,0
2021-07-29 03:54:02,0
2021-07-29 03:58:59,0
2021-07-29 04:04:01,0
2021-07-29 04:09:02,0
2021-07-29 04:13:59,0
2021-07-29 04:19:01,0
2021-07-29 04:23:59,0
2021-07-29 04:34:03,0
2021-07-29 04:39:01,0
2021-07-29 04:44:03,0
2021-07-29 04:49:00,0
2021-07-29 04:54:01,0
2021-07-29 04:59:03,0
2021-07-29 05:04:00,0
2021-07-29 05:19:00,0
2021-07-29 05:24:03,0
2021-07-29 05:29:00,0
2021-07-29 05:39:03,0
2021-07-29 05:44:00,0
2021-07-29 06:02:26,0
2021-07-29 06:15:33,2.61816
2021-07-29 06:28:46,3.45213
2021-07-29 06:33:48,0
2021-07-29 06:38:46,3.45213
2021-07-29 06:43:48,0
2021-07-29 07:00:11,3.51484
2021-07-29 07:05:13,4.41061
2021-07-29 07:10:11,4.39751
2021-07-29 07:15:12,4.36395
2021-07-29 07:20:14,4.3483
2021-07-29 07:25:11,2.04429
2021-07-29 07:30:12,3.089259333
2021-07-29 07:35:14,2.872881048
2021-07-29 07:40:11,2.656502762
2021-07-29 07:45:12,0
2021-07-29 07:50:14,0
2021-07-29 07:55:11,0
2021-07-29 08:00:12,0
2021-07-29 08:05:14,0
2021-07-29 08:10:11,0
2021-07-29 08:15:12,0
2021-07-29 08:20:14,0
2021-07-29 08:34:01,-2.26796E-05
2021-07-29 08:39:03,0
2021-07-29 08:44:00,0
2021-07-29 08:49:01,0
2021-07-29 08:54:03,0
2021-07-29 08:59:00,0
2021-07-29 09:04:01,0
2021-07-29 09:09:04,0
2021-07-29 09:14:01,0
2021-07-29 09:19:03,0
2021-07-29 09:24:00,0
2021-07-29 09:29:02,0
2021-07-29 09:34:03,0
2021-07-29 09:39:00,0
2021-07-29 09:44:02,0
2021-07-29 09:49:04,0
2021-07-29 09:54:01,0
2021-07-29 09:59:03,0
2021-07-29 10:04:01,0
2021-07-29 10:09:02,0
2021-07-29 10:14:03,0
2021-07-29 10:19:00,0
2021-07-29 10:24:02,0
2021-07-29 10:29:03,0
2021-07-29 10:34:01,0
2021-07-29 10:39:02,0
2021-07-29 10:44:04,0
2021-07-29 10:49:01,0
2021-07-29 10:54:02,0
2021-07-29 10:59:04,0
2021-07-29 11:04:01,0
2021-07-29 11:09:02,0
2021-07-29 11:14:04,0
2021-07-29 11:29:04,0
2021-07-29 11:34:01,0
2021-07-29 11:39:04,0
2021-07-29 11:49:04,0
2021-07-29 12:14:04,0
2021-07-29 12:24:04,0
2021-07-29 12:29:01,0
2021-07-29 12:39:04,0
2021-07-29 12:49:04,0
2021-07-29 13:04:32,2.69052E-05
2021-07-29 13:33:03,2.31999E-05
2021-07-29 13:38:05,0
2021-07-29 13:43:03,0
2021-07-29 13:48:04,0
2021-07-29 13:53:06,0
2021-07-29 13:58:03,0
2021-07-29 14:03:05,0
2021-07-29 14:08:06,0
2021-07-29 14:13:03,0
2021-07-29 14:18:05,0
2021-07-29 14:23:06,0
2021-07-29 14:28:03,0
2021-07-29 14:33:05,0
2021-07-29 14:38:06,0
2021-07-29 14:43:04,0
2021-07-29 14:48:05,0
2021-07-29 14:53:06,0
2021-07-29 14:58:04,0
2021-07-29 15:03:05,0
2021-07-29 15:08:07,0
2021-07-29 15:13:04,0
2021-07-29 15:18:05,0
2021-07-29 15:23:07,0
2021-07-29 15:28:04,0
2021-07-29 15:38:03,0
2021-07-29 15:43:22,2.61599E-05
2021-07-29 15:48:25,0
2021-07-29 15:53:22,0
2021-07-29 15:58:23,0
2021-07-29 16:34:17,1.03514
2021-07-29 16:39:19,0
2021-07-29 16:44:17,0
2021-07-29 16:54:20,0
2021-07-29 16:59:17,0
2021-07-29 17:04:18,0
2021-07-29 17:09:20,0
2021-07-29 17:14:17,0
2021-07-29 17:26:35,3.59566E-05
2021-07-29 17:31:37,0
2021-07-29 17:36:34,0
2021-07-29 17:41:36,0
2021-07-29 17:46:37,0
2021-07-29 17:51:34,0
2021-07-29 17:56:36,0
2021-07-29 18:01:37,0
2021-07-29 18:06:35,0
2021-07-29 18:16:38,0
2021-07-29 18:21:35,0
2021-07-29 18:26:36,0
2021-07-29 18:31:38,0.282598
2021-07-29 18:55:18,0.315009644
2021-07-29 19:00:15,0
2021-07-29 19:16:12,1.662350627
2021-07-29 19:21:14,0
2021-07-29 19:33:41,0.000782738
2021-07-29 19:38:43,0
2021-07-29 19:43:40,0
2021-07-29 19:48:41,0
2021-07-29 19:58:40,0
2021-07-29 20:03:43,5.031841
2021-07-29 20:08:40,0
2021-07-29 20:13:42,0
2021-07-29 20:23:40,0
2021-07-29 20:28:43,0
2021-07-29 20:38:41,0
2021-07-29 20:43:44,0
2021-07-29 20:48:41,0
2021-07-29 20:53:43,0
2021-07-29 20:58:41,0
2021-07-29 21:03:43,0
2021-07-29 21:08:40,0
2021-07-29 21:13:42,0
2021-07-29 21:18:44,0
2021-07-29 21:23:41,0
2021-07-29 21:28:42,0
2021-07-29 21:33:43,0
2021-07-29 21:38:41,0
2021-07-29 21:43:42,0
2021-07-29 21:48:43,0
2021-07-29 21:53:41,0
2021-07-29 21:58:42,0
2021-07-29 22:03:43,0
2021-07-29 22:08:41,0
2021-07-29 22:13:42,0
2021-07-29 22:18:44,0
2021-07-29 22:23:41,0
2021-07-29 22:28:42,0
2021-07-29 22:33:44,0
2021-07-29 22:38:41,0
2021-07-29 22:43:44,0
2021-07-29 22:48:41,0
2021-07-29 22:53:42,0
2021-07-29 22:58:44,0
2021-07-29 23:03:41,0
2021-07-29 23:08:42,0
2021-07-29 23:13:44,0
2021-07-29 23:18:41,0
2021-07-29 23:23:42,0
2021-07-29 23:28:44,0
2021-07-29 23:33:41,0
2021-07-29 23:38:42,0
2021-07-29 23:43:44,0
2021-07-29 23:48:41,0
2021-07-29 23:53:42,0
